Time (s),Raw X Gyro,Raw Y Gyro,Raw Z Gyro
66.6881033762671,-32,125,-13
66.7381306842071,-33,124,-13
66.7882001762794,-33,125,-12
66.8382693889866,-33,125,-12
66.8883629064588,-32,10,-13
66.9384237382125,-33,124,-12
66.9885234017173,-33,124,-12
67.0385535033084,-33,125,-12
67.0886445064945,-32,126,-13
67.138731319204,-33,124,-12
67.189593090742,-33,124,-12
67.2388635985859,-32,124,-13
67.2889339287535,-32,124,-13
67.3398895669701,-33,125,-12
67.3891075541724,-33,124,-13
67.4391351414775,-33,124,-13
67.4902153765353,-33,124,-13
67.5392928430848,-32,125,-13
67.58934501452,-33,125,-12
67.6393647796019,-33,125,-12
67.689516405018,-33,125,-12
67.7396775288479,-32,124,-12
67.7896704748788,-32,124,-13
67.840515763875,-32,125,-13
67.8899720495203,-33,125,-12
67.9398630272842,-32,125,-13
67.9899640876145,-32,125,-12
68.0400685003262,-33,125,-13
68.0901013955684,-32,124,-13
68.1401893257383,-33,125,-12
68.1902493193967,-33,124,-13
68.2403280305178,-33,125,-12
68.2903673511578,-33,124,-13
68.3404119797349,-32,124,-11
68.3905222591139,-33,125,-12
68.4405917511863,-32,125,-12
68.4916292433815,-33,125,-12
68.5407293385053,-32,125,-13
68.5908214591519,-32,125,-14
68.6408898337638,-33,125,-13
68.6909380940874,-33,124,-13
68.741954633899,-32,124,-13
68.7911156306179,-33,125,-12
68.8419391291351,-32,126,-12
68.8912093576139,-32,126,-13
68.941314887786,-32,124,-12
68.9913709703328,-32,125,-12
69.041444932247,-33,125,-12
69.0915222465425,-34,125,-13
69.1426823800232,-33,125,-14
69.1916908433893,-32,125,-12
69.2417231799014,-33,124,-13
69.2918189322945,-33,125,-13
69.3427759673366,-33,125,-12
69.3919808243785,-33,125,-12
69.4419684624722,-32,125,-13
69.4920971799488,-33,124,-13
69.5421937704373,-32,125,-13
69.5932024880257,-33,124,-12
69.6423771736352,-32,125,-13
69.6924036434798,-33,124,-12
69.7424262022129,-33,125,-12
69.7925166466688,-32,125,-13
69.8426068117596,-32,125,-13
69.8926679228785,-33,125,-13
69.9428709514757,-33,124,-12
69.9936427674467,-33,125,-13
70.0429719419647,-31,124,-12
70.0929710340281,-33,124,-13
70.1430148245098,-33,125,-13
70.1942867040364,-32,126,-12
70.2431825832613,-33,125,-13
70.2931925705641,-32,125,-12
70.3432710023201,-32,126,-13
70.3941922786276,-33,125,-13
70.4434541261529,-32,125,-13
70.4935800499784,-33,124,-13
70.543586964265,-33,126,-13
70.5937011547557,-32,125,-12
70.6446601453537,-32,125,-12
70.6938094087377,-31,124,-12
70.7439034849401,-32,125,-13
70.7939967230472,-33,125,-12
70.8440385579732,-33,125,-12
70.8941150341733,-33,124,-12
70.9441825706898,-34,125,-12
70.9942738532411,-34,125,-12
71.0446229897934,-32,124,-13
71.0944097643695,-33,124,-13
71.1453176311514,-33,125,-13
71.1945730532791,-32,124,-13
71.2445930977261,-32,125,-12
71.2947056120261,-32,125,-13
71.3447633707636,-33,125,-12
71.3948119104523,-33,125,-13
71.4451987612951,-32,125,-13
71.4949514533272,-33,125,-12
71.5450502787365,-33,125,-13
71.5950949073136,-33,124,-12
71.6451708247836,-32,125,-13
71.6952841771789,-33,126,-13
71.7462618852396,-33,124,-12
71.7954536121211,-33,124,-12
71.8454406914845,-32,125,-13
71.8955473391171,-33,125,-13
71.9456414153195,-33,125,-13
71.9957399613638,-33,125,-13
72.045809174071,-33,125,-13
72.0971562028135,-33,125,-13
72.1459302788483,-32,125,-12
72.1971258916985,-32,125,-12
72.2459935550468,-32,124,-12
72.2970221075584,-32,124,-12
72.3461945582469,-33,124,-13
72.3963165709608,-32,125,-12
72.4463648312844,-32,125,-12
72.4965131043191,-33,125,-12
72.5465261646382,-33,124,-13
